Code;Name;Start Date;End Date;Code client;Holder;Signatory name;Signatory Level;Status
0000120;EADS METRIC - EUROCOPTER FR;20061201;20151231;331080;EUROCOPTER FRANCE;N/A;N/A;80
0000126;EUROCOPTER LASSO;20060201;20070228;331080;EUROCOPTER FRANCE;N/A;N/A;80
0000131;EUROCOPTER LASSO 2007;20010101;20091231;331080;EUROCOPTER FRANCE;N/A;N/A;80
0000199;EUROCOPTER FASTENER + _ ANNEX 9;20080310;20101231;331080;EUROCOPTER FRANCE;N/A;N/A;80
0000229;E/2003/111 - ANNEX DRAWING PARTS 2015;20081105;20151231;331080;EUROCOPTER FRANCE;N/A;N/A;80
0000232;EUROCOPTER LASSO 2009;20081128;20091231;331080;EUROCOPTER FRANCE;N/A;N/A;80
0000273;E/2003/111 _ A5(a) _ RFX METRIC 2009;20090201;20151231;331080;EUROCOPTER FRANCE;N/A;N/A;80
0000280;E/2003/111 _ ANNEXE A8 (LASSO);20090201;20151231;331080;EUROCOPTER FRANCE;N/A;N/A;80
0000165;AERNNOVA LTA 2010 USD;20080101;20131231;331082;AERNNOVA AEROSPACE S.A;N/A;N/A;20
0000166;AERNNOVA LTA 2010 EUR;20080101;20131231;331082;AERNNOVA AEROSPACE S.A;N/A;N/A;20
0000204;AERNNOVA LTA 2010 EUR;20080101;20131231;331082;AERNNOVA AEROSPACE S.A;N/A;N/A;20
0000038;MLFA 100052 Rev. 00;20001012;20051231;332029;ALENIA AIRBUS/EFA;N/A;N/A;80
0000078;ALENIA N° SBA/LISI/00/8006/EPC;20060101;20091231;332029;ALENIA AIRBUS/EFA;N/A;N/A;80
0000207;SBA/LISI/00/8006/EPC;20080401;20091231;332029;ALENIA AIRBUS/EFA;N/A;N/A;80
0000016;2005 AIRBUS CONTRACT -- EADS SPAIN;20050101;20081231;332041;EADS SPAIN;N/A;N/A;80
0000077;MTAD N° SBA/LISI/00/8006/EPC;20060101;20091231;332041;EADS SPAIN;N/A;N/A;80
0000125;EADS METRIC - MTAD;20061201;20151231;332041;EADS SPAIN;N/A;N/A;80
0000206;SBA/LISI/00/8006/EPC;20080401;20091231;332041;EADS SPAIN;N/A;N/A;80
0000284;E/2003/111 _ ANNEXE A1 (a) _ RFP3;20090212;20151231;332041;EADS SPAIN;N/A;N/A;80
0000292;E/2003/111 _ ANNEXE A1 (a) _ RFP3;20090212;20151231;332041;EADS SPAIN;N/A;N/A;80
